,country,indicator_value,year,value
0,BR,GDP (current US$) [NY.GDP.MKTP.CD],2023,2173665655937.27
1,BR,GDP (current US$) [NY.GDP.MKTP.CD],2022,1951923942083.32
2,BR,GDP (current US$) [NY.GDP.MKTP.CD],2021,1670647399034.67
3,BR,GDP (current US$) [NY.GDP.MKTP.CD],2020,1476107231194.11
4,BR,GDP (current US$) [NY.GDP.MKTP.CD],2019,1873288205186.45
5,BR,GDP (current US$) [NY.GDP.MKTP.CD],2018,1916933898038.36
6,BR,GDP (current US$) [NY.GDP.MKTP.CD],2017,2063514977334.32
7,BR,GDP (current US$) [NY.GDP.MKTP.CD],2016,1795693482652.52
8,BR,GDP (current US$) [NY.GDP.MKTP.CD],2015,1802212206904.68
9,BR,GDP (current US$) [NY.GDP.MKTP.CD],2014,2456043727198.85
10,BR,GDP (current US$) [NY.GDP.MKTP.CD],2013,2472819535742.73
11,BR,GDP (current US$) [NY.GDP.MKTP.CD],2012,2465227803011.57
12,BR,GDP (current US$) [NY.GDP.MKTP.CD],2011,2616156223977.47
13,BR,GDP (current US$) [NY.GDP.MKTP.CD],2010,2208837745214.23
14,BR,GDP (current US$) [NY.GDP.MKTP.CD],2009,1666996438681.46
15,BR,GDP (current US$) [NY.GDP.MKTP.CD],2008,1695855083552.05
16,BR,GDP (current US$) [NY.GDP.MKTP.CD],2007,1397114486471.38
17,BR,GDP (current US$) [NY.GDP.MKTP.CD],2006,1107626541710.74
18,BR,GDP (current US$) [NY.GDP.MKTP.CD],2005,891633839853.105
19,BR,GDP (current US$) [NY.GDP.MKTP.CD],2004,669289424806.307
20,BR,GDP (current US$) [NY.GDP.MKTP.CD],2003,558233745651.874
21,BR,GDP (current US$) [NY.GDP.MKTP.CD],2002,509795273806.715
22,BR,GDP (current US$) [NY.GDP.MKTP.CD],2001,559983634798.981
23,BR,GDP (current US$) [NY.GDP.MKTP.CD],2000,655448231983.527
24,BR,GDP (current US$) [NY.GDP.MKTP.CD],1999,599642024319.531
25,BR,GDP (current US$) [NY.GDP.MKTP.CD],1998,863710759256.435
26,BR,GDP (current US$) [NY.GDP.MKTP.CD],1997,883206179730.462
27,BR,GDP (current US$) [NY.GDP.MKTP.CD],1996,850426432991.742
28,BR,GDP (current US$) [NY.GDP.MKTP.CD],1995,769333050986.905
29,BR,GDP (current US$) [NY.GDP.MKTP.CD],1994,525369467295.737
30,BR,GDP (current US$) [NY.GDP.MKTP.CD],1993,368292034380.96
31,BR,GDP (current US$) [NY.GDP.MKTP.CD],1992,328191909882.232
32,BR,GDP (current US$) [NY.GDP.MKTP.CD],1991,342534090909.091
33,BR,GDP (current US$) [NY.GDP.MKTP.CD],1990,384959818181.817
34,BR,GDP (current US$) [NY.GDP.MKTP.CD],1989,425595310393.455
50,BR,GDP per capita (current US$) [NY.GDP.PCAP.CD],2023,10043.6239221567
51,BR,GDP per capita (current US$) [NY.GDP.PCAP.CD],2022,9065.49733395404
52,BR,GDP per capita (current US$) [NY.GDP.PCAP.CD],2021,7794.88097933152
53,BR,GDP per capita (current US$) [NY.GDP.PCAP.CD],2020,6923.6999117682
54,BR,GDP per capita (current US$) [NY.GDP.PCAP.CD],2019,8845.32414932264
55,BR,GDP per capita (current US$) [NY.GDP.PCAP.CD],2018,9121.02099480377
