country,indicator_value,year,value
BR,GDP (current US$) [NY.GDP.MKTP.CD],2023,2173665655937.27
BR,GDP (current US$) [NY.GDP.MKTP.CD],2022,1951923942083.32
BR,GDP (current US$) [NY.GDP.MKTP.CD],2021,1670647399034.67
BR,GDP (current US$) [NY.GDP.MKTP.CD],2020,1476107231194.11
BR,GDP (current US$) [NY.GDP.MKTP.CD],2019,1873288205186.45
BR,GDP (current US$) [NY.GDP.MKTP.CD],2018,1916933898038.36
BR,GDP (current US$) [NY.GDP.MKTP.CD],2017,2063514977334.32
BR,GDP (current US$) [NY.GDP.MKTP.CD],2016,1795693482652.52
BR,GDP (current US$) [NY.GDP.MKTP.CD],2015,1802212206904.68
BR,GDP (current US$) [NY.GDP.MKTP.CD],2014,2456043727198.85
BR,GDP (current US$) [NY.GDP.MKTP.CD],2013,2472819535742.73
BR,GDP (current US$) [NY.GDP.MKTP.CD],2012,2465227803011.57
BR,GDP (current US$) [NY.GDP.MKTP.CD],2011,2616156223977.47
BR,GDP (current US$) [NY.GDP.MKTP.CD],2010,2208837745214.23
BR,GDP (current US$) [NY.GDP.MKTP.CD],2009,1666996438681.46
BR,GDP (current US$) [NY.GDP.MKTP.CD],2008,1695855083552.05
BR,GDP (current US$) [NY.GDP.MKTP.CD],2007,1397114486471.38
BR,GDP (current US$) [NY.GDP.MKTP.CD],2006,1107626541710.74
BR,GDP (current US$) [NY.GDP.MKTP.CD],2005,891633839853.105
BR,GDP (current US$) [NY.GDP.MKTP.CD],2004,669289424806.307
BR,GDP (current US$) [NY.GDP.MKTP.CD],2003,558233745651.874
BR,GDP (current US$) [NY.GDP.MKTP.CD],2002,509795273806.715
BR,GDP (current US$) [NY.GDP.MKTP.CD],2001,559983634798.981
BR,GDP (current US$) [NY.GDP.MKTP.CD],2000,655448231983.527
BR,GDP (current US$) [NY.GDP.MKTP.CD],1999,599642024319.531
BR,GDP (current US$) [NY.GDP.MKTP.CD],1998,863710759256.435
BR,GDP (current US$) [NY.GDP.MKTP.CD],1997,883206179730.462
BR,GDP (current US$) [NY.GDP.MKTP.CD],1996,850426432991.742
BR,GDP (current US$) [NY.GDP.MKTP.CD],1995,769333050986.905
BR,GDP (current US$) [NY.GDP.MKTP.CD],1994,525369467295.737
BR,GDP (current US$) [NY.GDP.MKTP.CD],1993,368292034380.96
BR,GDP (current US$) [NY.GDP.MKTP.CD],1992,328191909882.232
BR,GDP (current US$) [NY.GDP.MKTP.CD],1991,342534090909.091
BR,GDP (current US$) [NY.GDP.MKTP.CD],1990,384959818181.817
BR,GDP (current US$) [NY.GDP.MKTP.CD],1989,425595310393.455
BR,GDP (current US$) [NY.GDP.MKTP.CD],1988,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1987,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1986,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1985,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1984,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1983,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1982,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1981,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1980,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1979,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1978,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1977,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1976,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1975,
BR,GDP (current US$) [NY.GDP.MKTP.CD],1974,
BR,GDP per capita (current US$) [NY.GDP.PCAP.CD],2023,10043.6239221567
